the_geom,COMPLEXID,SAFTYPE,SEGMENTID,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
POINT (-73.98902829535608 40.661092477221885),0,N,22566,2,1003984,1,3331274,3,04/01/2011 12:00:00 AM +0000,03/20/2020 12:00:00 AM +0000,2,DOE,30027101,5130009,PS 295
POINT (-73.87836555031981 40.687024663944904),0,,260849,2,1004185,1,3397004,3,04/06/2011 12:00:00 AM +0000,03/20/2020 12:00:00 AM +0000,2,DOE,,3123667,PS 65
POINT (-73.93345114775067 40.69135393456005),0,,44374,1,1011704,3,3043822,3,03/20/2012 12:00:00 AM +0000,03/20/2020 12:00:00 AM +0000,2,DOE,,3054689,BROOKLYN ACADEMY OF GLOBAL FINANCE
POINT (-73.87930214548267 40.66954060508137),0,,48115,1,1013684,2,3090219,3,06/14/2012 12:00:00 AM +0000,03/20/2020 12:00:00 AM +0000,2,DOE,,3122787,EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE
POINT (-73.83765161611142 40.65151348985065),0,,156498,1,18653,2,4295887,4,05/14/2009 12:00:00 AM +0000,11/18/2016 12:00:00 AM +0000,7,NYPD,,328383,NAPOLITANO LAW OFFICES
POINT (-73.83772546254274 40.651900049665365),0,,156498,1,17592,6,4449705,4,05/14/2009 12:00:00 AM +0000,11/18/2016 12:00:00 AM +0000,6,NYPD,,328382,OLD MILL YACHT CLUB
POINT (-73.92588891085505 40.8372794759631),0,,71447,1,5267,3,2003301,2,05/14/2009 12:00:00 AM +0000,11/18/2016 12:00:00 AM +0000,5,DoITT,,2005912,HIGHBRIDGE SENIOR CENTER
POINT (-73.9605459887116 40.68480599394872),0,,29463,2,1014789,2,3056874,3,07/18/2012 12:00:00 AM +0000,03/20/2020 12:00:00 AM +0000,2,DOE,,5131911,THE URBAN ASSEMBLY UNISON SCHOOL
POINT (-73.91043356058825 40.68050815758862),0,,9010256,1,1022827,1,3041561,3,10/17/2013 12:00:00 AM +0000,03/20/2020 12:00:00 AM +0000,2,DOE,,3051454,BROOKLYN LANDMARK ELEMENTARY SCHOOL
POINT (-73.91032244470578 40.68052032318241),0,,9010256,1,1022828,2,3041561,3,10/17/2013 12:00:00 AM +0000,03/20/2020 12:00:00 AM +0000,2,DOE,,3051454,BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES)
POINT (-73.98785667282036 40.66025042953496),0,N,21343,2,1022844,11,3331276,3,10/17/2013 12:00:00 AM +0000,03/20/2020 12:00:00 AM +0000,2,DOE,30026701,5130011,PS 53
POINT (-73.91092938838086 40.63531999003037),0,,42677,2,1026490,2,3224947,3,06/29/2015 12:00:00 AM +0000,03/20/2020 12:00:00 AM +0000,2,DOE,,3281731,EXPLORE EXCEL CHARTER SCHOOL UPPER SCHOOL CAMPUS
POINT (-73.98076705224334 40.76048073267873),0,,34211,1,16808,2,1022709,1,05/14/2009 12:00:00 AM +0000,11/16/2016 12:00:00 AM +0000,5,DoITT,,1023170,TIME WARNER CHILDRENS CENTER
POINT (-73.97932189038832 40.760661269376456),0,,34213,2,17061,2,1034510,1,05/14/2009 12:00:00 AM +0000,11/16/2016 12:00:00 AM +0000,13,NYPD,,1030427,SPERRY RAND BUILDING
POINT (-73.96477561636407 40.806130257852296),0,,158932,2,5825,2,1057018,1,05/14/2009 12:00:00 AM +0000,03/12/2013 12:00:00 AM +0000,3,DoITT,,1047282,MORNINGSIDE HEIGHTS LIBRARY
POINT (-73.88898339843928 40.63537980171405),0,,186737,2,3809,2,3234591,3,05/14/2009 12:00:00 AM +0000,11/16/2016 12:00:00 AM +0000,9,EMS,,3292746,SEAVIEW JEWISH CENTER
POINT (-73.87147645941766 40.726856536726494),0,,175047,1,4963,4,4068647,4,05/14/2009 12:00:00 AM +0000,11/16/2016 12:00:00 AM +0000,5,EMS,,76881,DRY HARBOR NURSING HOME & REHABILITATION CENTER
POINT (-73.93341081438503 40.691107316647326),0,,44374,1,1032732,3,3043822,3,10/15/2018 12:00:00 AM +0000,03/20/2020 12:00:00 AM +0000,2,DOE,,3054689,BROOKLYN EMERGING LEADERS ACADEMY CHARTER HIGH SCHOOL
POINT (-73.98364770123709 40.761443846394116),0,,34088,2,13645,3,1024810,1,05/14/2009 12:00:00 AM +0000,11/16/2016 12:00:00 AM +0000,3,EMS,,1023519,WINTER GARDEN THEATRE
POINT (-73.9586490469116 40.81296661279627),0,,260823,1,4428,2,1084113,1,05/14/2009 12:00:00 AM +0000,11/16/2016 12:00:00 AM +0000,5,DoITT,,1050838,CHILDRENS LEARNING CENTER AT MORNINGSIDE HEIGHTS
POINT (-73.89752465871746 40.634800343380505),0,N,46486,2,11220,1,3232559,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,30048501,5131791,PS 115 DANIEL MUCATEL SCHOOL
POINT (-73.73089350834442 40.717043166299284),0,,100851,1,14758,1,4430408,4,05/14/2009 12:00:00 AM +0000,11/16/2016 12:00:00 AM +0000,6,NYPD,,0,MTA QUEENS VILLAGE BUS DEPOT
POINT (-74.00363952660378 40.63318319666538),0,,20925,1,11448,1,3140612,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,,5131476,PS 105 THE BLYTHEBOURNE
POINT (-73.95384043583374 40.583457164360325),0,,103598,1,11469,2,3246958,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,,5131749,IS 98 BAY ACADEMY
POINT (-73.9655802420754 40.77404374604021),0,,37386,2,2076,4,1041674,1,05/14/2009 12:00:00 AM +0000,11/16/2016 12:00:00 AM +0000,8,NYPD,,1033614,FRENCH CONSULATE
POINT (-73.98155875794305 40.747835689583134),0,,164786,2,15253,1,1017107,1,05/14/2009 12:00:00 AM +0000,11/16/2016 12:00:00 AM +0000,9,NYPD,,1020199,COMMUNITY CHURCH OF NY
POINT (-73.93775541720753 40.70058550733269),0,,44295,1,8987,1,3071806,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,,5131914,PS 120 CARLOS TAPIA
POINT (-73.99069357026157 40.6675237504803),0,,158319,1,14055,1,3023391,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,,3029071,PS 124 SILAS B DUTCHER
POINT (-73.92257007336538 40.703980039397706),0,,44890,1,12393,1,3072966,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,,5131669,PS 123 SUYDAM
POINT (-73.95807838850801 40.812667762777025),0,,9009607,1,15386,2,1084112,1,05/14/2009 12:00:00 AM +0000,11/16/2016 12:00:00 AM +0000,1,NYPD,,1050837,MORNINGSIDE GARDENS
POINT (-73.98065413723334 40.760589221271495),0,,34210,2,2692,2,1022709,1,05/14/2009 12:00:00 AM +0000,11/16/2016 12:00:00 AM +0000,13,NYPD,,1023170,TIME LIFE BUILDING
POINT (-73.91281659720741 40.693764343792644),0,N,45232,2,17145,2,3077286,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,37280401,5131681,PS 106 EDWARD EVERETT HALE
POINT (-73.99526329079676 40.60490700310601),0,N,18812,1,10099,1,3165232,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,30006401,5132009,PS 128 BENSONHURST
POINT (-73.99334744831197 40.68512470072729),0,,22429,2,12639,12,3006401,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,,3008021,BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES
POINT (-73.87102965214511 40.72703446576791),0,,152005,2,5572,4,4068649,4,05/14/2009 12:00:00 AM +0000,11/16/2016 12:00:00 AM +0000,5,FDNY,,76883,MADISON YORK ASSISTED LIVING REGO PARK
POINT (-73.99180688343412 40.597586618232256),0,,18902,2,12157,1,3185973,3,05/14/2009 12:00:00 AM +0000,03/25/2020 12:00:00 AM +0000,2,DOE,,3235347,PS 101 THE VERRAZANO
